"18510787","TOTAL","T","DEB24",2014,-249
"18510788","TOTAL","T","DEB25",2014,990
"18510789","TOTAL","T","DEB3",2014,6646
"18510790","TOTAL","T","DEB31",2014,408
"18510791","TOTAL","T","DEB32",2014,598
"18510792","TOTAL","T","DEB33",2014,291
"18510793","TOTAL","T","DEB34",2014,1264
"18510794","TOTAL","T","DEB35",2014,1397
"18510795","TOTAL","T","DEB36",2014,194
"18510796","TOTAL","T","DEB37",2014,-69
"18510797","TOTAL","T","DEB38",2014,217
"18510798","TOTAL","T","DEB39",2014,279
"18510799","TOTAL","T","DEB3A",2014,38
"18510800","TOTAL","T","DEB3B",2014,128
"18510801","TOTAL","T","DEB3C",2014,389
"18510802","TOTAL","T","DEB3D",2014,-108
"18510803","TOTAL","T","DEB3E",2014,413
"18510804","TOTAL","T","DEB3F",2014,-349
"18510805","TOTAL","T","DEB3G",2014,-313
"18510806","TOTAL","T","DEB3H",2014,437
"18510807","TOTAL","T","DEB3I",2014,934
"18510808","TOTAL","T","DEB3J",2014,772
"18510809","TOTAL","T","DEB3K",2014,-343
"18510810","TOTAL","T","DEC0",2014,622
"18510811","TOTAL","T","DEC01",2014,719
"18510812","TOTAL","T","DEC02",2014,180
"18510813","TOTAL","T","DEC03",2014,-101
"18510814","TOTAL","T","DEC04",2014,-9
"18510815","TOTAL","T","DEC05",2014,-14
"18510816","TOTAL","T","DEC06",2014,-135
"18510817","TOTAL","T","DED2",2014,1811
"18510818","TOTAL","T","DED21",2014,5376
"18510819","TOTAL","T","DED2C",2014,-1516
"18510820","TOTAL","T","DED2D",2014,-1449
"18510821","TOTAL","T","DED2E",2014,-641
"18510822","TOTAL","T","DED2F",2014,25
"18510823","TOTAL","T","DED4",2014,-4262
"18510824","TOTAL","T","DED41",2014,1262
"18510825","TOTAL","T","DED42",2014,-2134
"18510826","TOTAL","T","DED43",2014,-1427
"18510827","TOTAL","T","DED44",2014,-791
"18510828","TOTAL","T","DED45",2014,-1170
"18510829","TOTAL","T","DED5",2014,7981
"18510830","TOTAL","T","DED51",2014,9437
"18510831","TOTAL","T","DED52",2014,-725
"18510832","TOTAL","T","DED53",2014,-735
"18510833","TOTAL","T","DEE0",2014,-7433
"18510834","TOTAL","T","DEE01",2014,-382
"18510835","TOTAL","T","DEE02",2014,1356
"18510836","TOTAL","T","DEE03",2014,1277
"18510837","TOTAL","T","DEE04",2014,-494
"18510838","TOTAL","T","DEE05",2014,-1200
"18510839","TOTAL","T","DEE06",2014,-422
"18510840","TOTAL","T","DEE07",2014,-717
"18510841","TOTAL","T","DEE08",2014,-1066
"18510842","TOTAL","T","DEE09",2014,-1104
"18510843","TOTAL","T","DEE0A",2014,-1022
"18510844","TOTAL","T","DEE0B",2014,-863
"18510845","TOTAL","T","DEE0C",2014,-1116
"18510846","TOTAL","T","DEE0D",2014,-968
